Phase,Number,Name,Program,Project Manager,Portfolio Category,Gate 1,Gate 2,Gate 3,30% Design,60% Design,90% Design,NTP Issued/Start Con,Project Substantial Completion,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference),30% Design (Performance/Reference),60% Design (Performance/Reference),90% Design (Performance/Reference),NTP Issued/Start Con (Performance/Reference),Project Substantial Completion (Performance/Reference),Schedule Variance
DESIGN,1129599,RSD RENTON AVE PH III SIDEWALK,,"Linders, Jon",Roadside,5/10/2018,2/15/2019,1/29/2019,11/15/2018,3/5/2019,5/23/2019,6/14/2022,9/8/2022,,,1/29/2019,11/15/2018,3/5/2019,5/23/2019,6/14/2022,9/8/2022,56.76%
IMPLEMENT,1129714,RSD NE STILLWATER HILL RD,RSD CWP ROADWAY PRESERVATION,"Linders, Jon",Roadway,2/14/2019,3/4/2019,5/30/2019,5/30/2019,8/15/2019,10/10/2019,7/19/2021,10/19/2021,2/14/2019,3/4/2019,5/30/2019,5/30/2019,8/15/2019,10/10/2019,7/19/2021,11/24/2021,2.94%
IMPLEMENT,1129716,RSD DIVISION 1 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129717,RSD DIVISION 2 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129718,RSD DIVISION 3 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129720,RSD DIVISION 4 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129721,RSD DIVISION 5 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129722,RSD DIVISION 6 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129723,RSD DIVISION 1 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129724,RSD DIVISION 2 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129725,RSD DIVISION 3 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129726,RSD DIVISION 4 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129727,RSD DIVISION 5 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129728,RSD DIVISION 6 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,,,,,,,,,,,,,,,,,
IMPLEMENT,1129841,RSD CIP OVERSIGHT 3855,,"Foote, Mark",Administrative,,,,,,,,,,,,,,,,,
IMPLEMENT,1130303,RSD CIP OVERSIGHT 3865,,"Foote, Mark",Administrative,,,,,,,,,,,,,,,,,
PLANNING,1130705,RSD FC SNQ VLY MJR FL MIT STDY,RSD CWP FLOOD CONTROL DISTRICT,"Truong, Trinh",Drainage,4/22/2021,4/1/2022,7/30/2022,7/1/2022,,,,,4/22/2021,4/1/2022,7/30/2022,7/1/2022,,,,,
PLANNING,1130706,RSD FC NE8ST@ALLEN LAKE OUTLET,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,12/19/2020,2/1/2022,4/29/2022,3/25/2022,,,,,12/19/2020,2/1/2022,4/29/2022,3/25/2022,,,,,
IMPLEMENT,1130707,RSD FC 162 AVE SE @ SE 166 CT,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,4/14/2017,12/15/2017,2/26/2018,2/12/2018,1/30/2019,4/7/2020,8/19/2020,11/6/2020,4/14/2017,12/15/2017,2/26/2018,2/12/2018,1/30/2019,4/7/2020,8/19/2020,11/6/2020,5.19%
CLOSEOUT,1130708,RSD FC DAVID POWELL RD RPR,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,4/3/2017,6/23/2017,7/4/2018,7/24/2017,10/25/2017,4/24/2018,7/3/2019,11/22/2019,4/3/2017,6/23/2017,7/4/2018,7/24/2017,10/25/2017,4/24/2018,7/3/2019,11/22/2019,-3.95%
DESIGN,1130710,RSD FC 380 PL @SR-164 CDR,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,3/29/2018,1/24/2020,9/8/2020,7/16/2020,2/24/2021,2/18/2022,6/30/2022,10/28/2022,3/29/2018,1/24/2020,9/8/2020,7/16/2020,2/24/2021,10/22/2021,6/1/2022,10/28/2022,87.50%
CLOSEOUT,1130962,RSD BLK DMND-RVNSDL RD SLD RPR,RSD QUICK RESPONSE,"Shular, Ryan",Contingencies,,,,,,,,9/28/2018,,,,,,,,,
CLOSEOUT,1131132,RSD 2017-18 NEW GRDL CONSTRUCT,RSD CWP GUARDRAIL CONSTRUCTION,"Bleasdale, Don",Roadside,1/30/2018,7/28/2017,7/31/2017,7/31/2017,,,5/14/2018,9/20/2018,,,,,,,,,47.50%
DESIGN,1131157,RSD HGH COLLSN SIGHTLINE IMPV,RSD CWP HIGH COLLISION SAFETY,"Karinen, Martin",Traffic Control,,11/16/2017,12/12/2020,2/28/2019,7/15/2020,10/15/2020,5/28/2022,8/28/2022,,11/16/2017,12/12/2020,2/28/2019,7/15/2020,10/15/2020,9/28/2021,10/28/2021,22.14%
IMPLEMENT,1131162,RSD HGH COLLSN SIGNAL MOD,RSD CWP HIGH COLLISION SAFETY,"Zhen, Haiyan",Traffic Control,,,,,,,,,,,,,,,,,
CLOSEOUT,1131163,RSD HGH FRICTION SURF TMT,RSD CWP HIGH COLLISION SAFETY,"Sahagun, Dan",Traffic Control,,,12/20/2017,5/23/2017,,,8/1/2018,11/15/2018,,,12/20/2017,5/23/2017,,,8/1/2018,11/15/2018,-32.16%
DESIGN,1131235,RSD S 360ST&MILITARY RD RNDABT,,"Karinen, Martin",Traffic Control,,12/6/2019,10/15/2021,9/23/2020,4/8/2021,2/15/2022,4/28/2024,6/11/2021,,12/6/2019,2/23/2021,9/23/2020,4/8/2021,9/3/2021,9/14/2023,6/11/2021,
HOLD,1131236,RSD S LANGSTON RD&59 AV RNDABT,,"McManus, Aileen",Traffic Control,,,,,,,,,,,,,,,,,
IMPLEMENT,1131333,RSD CWP FLOOD CONTROL DISTRICT,RSD CWP FLOOD CONTROL DISTRICT,"Lyou, John",Drainage,,,,,,,,1/31/2020,,,,,,,,1/31/2020,
CLOSEOUT,1131387,RSD 2017 CW PVMNT PRESERVATION,RSD CWP ROADWAY PRESERVATION,"Moore, Paul",Roadway,,,3/24/2017,,,,,10/9/2018,,,,,,,,,10.98%
CLOSEOUT,1131508,RSD DIV 4 FACLTY IMPRVMT 17-18,RSD FACIL PRESERVATION C/WIDE,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,,,,,,,,,,,
DESIGN,1131511,RSD SAHALEE WY NE 46000 BLK,RSD CWP DRAINAGE PRESERVATION,"Dulan, Lica",Drainage,11/8/2018,7/16/2019,11/30/2017,7/27/2017,11/20/2017,1/10/2018,8/1/2022,10/1/2022,11/8/2018,7/16/2019,11/30/2017,7/27/2017,11/20/2017,1/10/2018,8/15/2021,10/1/2021,
DESIGN,1131526,RSD SE PTRVSKY & 134 A SE,RSD CWP DRAINAGE PRESERVATION,"Mitchell, Mark C.",Drainage,9/17/2018,8/21/2018,1/6/2020,8/2/2018,8/16/2019,4/15/2020,3/1/2023,10/15/2024,9/17/2018,8/21/2018,1/6/2020,8/2/2018,8/16/2019,9/1/2021,3/1/2023,10/2/2023,
IMPLEMENT,1131557,RSD 17-18 SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,"Brown, Keith",Traffic Control,,,,,,,,,,,,,,,,,
IMPLEMENT,1131582,RSD NE WD/DVL CULVERT REPL,RSD QUICK RESPONSE,"Shular, Ryan",Contingencies,,,9/27/2017,,,,,10/11/2017,,,,,,,,,
DESIGN,1131671,RSD SE PTRVSKY @ 151ST  A SE,RSD CWP DRAINAGE PRESERVATION,"Mitchell, Mark C.",Drainage,9/17/2018,5/21/2018,6/19/2019,5/21/2018,8/16/2019,4/30/2020,2/1/2024,4/15/2024,9/17/2018,5/21/2018,6/19/2019,5/21/2018,8/16/2019,7/15/2021,2/1/2024,4/15/2024,
DESIGN,1131672,RSD SE PTRVSKY @20300BLK,RSD CWP DRAINAGE PRESERVATION,"Mitchell, Mark C.",Drainage,9/17/2018,5/21/2018,5/15/2020,5/21/2018,8/16/2019,4/30/2020,2/1/2024,9/1/2020,9/17/2018,5/21/2018,5/15/2020,5/21/2018,8/16/2019,9/1/2021,2/1/2024,9/1/2020,
CLOSEOUT,1131693,RSD UNION HILL@225 BOXCULVRT,RSD CWP DRAINAGE PRESERVATION,"Truong, Trinh",Drainage,,,7/26/2017,,,,,9/12/2017,,,7/26/2017,,,,,9/12/2017,
